lago,fecha,umbral_alto,pixeles_validos,pixeles_altos,porcentaje_area_alta
amatitlan,2025-01-28,10.267160415649414,104762,65077,62.11889807372902
amatitlan,2025-04-15,10.267160415649414,48363,16286,33.67450323594483
amatitlan,2025-04-28,10.267160415649414,92362,29376,31.805287888958663
amatitlan,2025-11-24,10.267160415649414,114263,35427,31.00478720145629
amatitlan,2026-01-08,10.267160415649414,123144,98176,79.7245501201845
amatitlan,2026-02-02,10.267160415649414,9620,365,3.7941787941787943
amatitlan,2026-02-07,10.267160415649414,39998,5553,13.883194159707985
amatitlan,2026-03-29,10.267160415649414,89925,51467,57.233249930497635
amatitlan,2026-04-13,10.267160415649414,137174,109194,79.60254858792483
amatitlan,2026-04-28,10.267160415649414,131987,68190,51.66417904793654
amatitlan,2026-06-19,10.267160415649414,129606,125849,97.1012144499483
atitlan,2025-01-18,10.267160415649414,88102,38080,43.222628317177815
atitlan,2025-04-13,10.267160415649414,871655,100,0.011472428885281447
atitlan,2025-05-13,10.267160415649414,638307,217,0.03399618052128521
atitlan,2025-07-17,10.267160415649414,781883,5521,0.7061158766720852
atitlan,2025-11-21,10.267160415649414,562922,76919,13.664237674136025
atitlan,2025-12-29,10.267160415649414,649043,28078,4.326061601465542
atitlan,2026-02-12,10.267160415649414,659629,27518,4.1717389623561125
atitlan,2026-03-24,10.267160415649414,1123907,492,0.04377586401721851
atitlan,2026-04-13,10.267160415649414,158792,525,0.33062118998438206
atitlan,2026-04-28,10.267160415649414,483325,72,0.014896808565664926
atitlan,2026-07-22,10.267160415649414,812612,2661,0.3274625528542527
