lago,relacion,predictor,n_fechas,pearson_r,pearson_p,spearman_rho,spearman_p,interpretacion
amatitlan,cianobacteria_vs_ndvi,ndvi_promedio,11,0.26273243765824394,0.43507772120319665,0.5272727272727273,0.09556521835315425,Relación positiva débil; no implica causalidad.
amatitlan,cianobacteria_vs_ndwi,ndwi_promedio,11,0.25295616117676295,0.45296786660769933,-0.18181818181818182,0.5926152128455,Relación positiva débil; no implica causalidad.
atitlan,cianobacteria_vs_ndvi,ndvi_promedio,11,0.9521259339151104,6.278081742188277e-06,0.7727272727272727,0.005299487178643862,Relación positiva fuerte; no implica causalidad.
atitlan,cianobacteria_vs_ndwi,ndwi_promedio,11,0.7234989885212758,0.011848311138187568,0.9363636363636365,2.2082076449177507e-05,Relación positiva fuerte; no implica causalidad.
