lago,fecha,pixeles_validos,cobertura_valida_pct,mascara_lago_aplicada,cianobacteria_promedio,cianobacteria_mediana,cianobacteria_desviacion,ndvi_promedio,ndvi_mediana,ndvi_desviacion,ndwi_promedio,ndwi_mediana,ndwi_desviacion,incidencia
amatitlan,2025-01-28,104762,8.400314324202963,False,14.139633178710938,12.023778915405273,8.540390968322754,-0.3336476981639862,-0.3233082592487335,0.1400633305311203,0.5771927237510681,0.5700934529304504,0.10672184824943542,
amatitlan,2025-04-15,48363,3.877974854063763,False,10.094926834106445,4.817137241363525,8.901562690734863,-0.11001264303922653,-0.14105793833732605,0.11291684210300446,0.3325974941253662,0.33980581164360046,0.09344632178544998,
amatitlan,2025-04-28,92362,7.406023478093528,False,13.328803062438965,4.923872947692871,15.788143157958984,-0.082253098487854,-0.14646464586257935,0.17541833221912384,0.3292430341243744,0.3705834150314331,0.1650211364030838,
amatitlan,2025-11-24,114263,9.162149592661493,False,13.280655860900879,6.940280914306641,17.331558227539062,-0.3447711169719696,-0.37962964177131653,0.22932930290699005,0.5095126628875732,0.5234042406082153,0.18106712400913239,
amatitlan,2026-01-08,123144,9.874270318814549,False,22.57154083251953,16.110492706298828,19.23466682434082,-0.0890452191233635,-0.12558139860630035,0.218189999461174,0.36816197633743286,0.4084506928920746,0.20018497109413147,
amatitlan,2026-02-02,9620,0.7713772531913529,False,6.734543800354004,6.500611305236816,1.7800952196121216,-0.1886398196220398,-0.1979166716337204,0.06242365390062332,0.3411917984485626,0.3388092517852783,0.05884583294391632,
amatitlan,2026-02-07,39998,3.2072294566681636,False,7.854831218719482,6.982612609863281,3.4731173515319824,-0.21744851768016815,-0.2195121943950653,0.08010769635438919,0.43350204825401306,0.4274509847164154,0.08465573191642761,Cobertura válida parcial aproximada: 57.1%.
amatitlan,2026-03-29,89925,7.2106132529347615,False,17.142580032348633,11.511004447937012,15.406862258911133,-0.06421654671430588,-0.08355091512203217,0.11937051266431808,0.32190507650375366,0.3333333432674408,0.1171564906835556,
amatitlan,2026-04-13,137174,10.999262300339984,False,16.55322265625,14.043819427490234,9.47496223449707,-0.02849690616130829,-0.03133159130811691,0.05331164598464966,0.2871595323085785,0.2897016406059265,0.06423003226518631,
amatitlan,2026-04-28,131987,10.583344024632753,False,24.16481590270996,12.5946626663208,24.736923217773438,0.013475951738655567,0.01123595517128706,0.2515277862548828,0.28740525245666504,0.26406925916671753,0.24553091824054718,
amatitlan,2026-06-19,129606,10.392424145230612,False,63.97161865234375,63.905181884765625,33.36198425292969,-0.11020873486995697,-0.07896335422992706,0.2518448233604431,0.49740609526634216,0.4945538640022278,0.19471503794193268,
atitlan,2025-01-18,88102,1.8236769999807494,False,43.93463134765625,7.426362037658691,75.34351348876953,0.5497052669525146,0.6363636255264282,0.29122495651245117,0.7173314690589905,0.7307692170143127,0.15619389712810516,
atitlan,2025-04-13,871655,18.042918156434816,False,3.162545680999756,3.374856472015381,1.0159997940063477,-0.042259011417627335,-0.03809523954987526,0.043059177696704865,0.3777162432670593,0.372013658285141,0.05749499052762985,
atitlan,2025-05-13,638307,13.212705668732971,False,3.5558950901031494,3.8184099197387695,1.1159929037094116,-0.06619184464216232,-0.0573248416185379,0.06034513935446739,0.43686917424201965,0.43589743971824646,0.06595897674560547,
atitlan,2025-07-17,781883,16.18467280851681,False,4.235870838165283,4.3675971031188965,3.05147385597229,-0.01882604882121086,0.0,0.120772585272789,0.45406776666641235,0.4609375,0.12201420217752457,
atitlan,2025-11-21,562922,11.652265603313925,False,9.878191947937012,4.779903888702393,26.877744674682617,0.04239862784743309,0.0476190485060215,0.22761526703834534,0.6981691122055054,0.694656491279602,0.10561314970254898,
atitlan,2025-12-29,649043,13.434936676789466,False,5.1785054206848145,4.193744659423828,11.939492225646973,0.11985600739717484,0.11627907305955887,0.15758171677589417,0.5031911134719849,0.504273533821106,0.12229863554239273,
atitlan,2026-02-12,659629,13.654062743414471,False,5.397866725921631,4.456118106842041,12.805868148803711,0.03132256865501404,0.03030303120613098,0.1451711654663086,0.5707164406776428,0.5620437860488892,0.09396151453256607,
atitlan,2026-03-24,1123907,23.264436062942544,False,3.644007444381714,3.9476046562194824,1.2220771312713623,-0.12294939905405045,-0.10559006035327911,0.0859193354845047,0.4576896131038666,0.4387351870536804,0.08161130547523499,
atitlan,2026-04-13,158792,3.2869323985941654,False,3.6344711780548096,3.927079439163208,1.7572433948516846,-0.05330520123243332,-0.03184713423252106,0.11156044155359268,0.4266057312488556,0.4161282181739807,0.10803671926259995,
atitlan,2026-04-28,483325,10.004638782498645,False,3.1272377967834473,3.3424010276794434,1.0338513851165771,-0.09716250747442245,-0.08713693171739578,0.058673158288002014,0.38618627190589905,0.37979093194007874,0.056384388357400894,
atitlan,2026-07-22,812612,16.82075111017181,False,3.992428779602051,4.218695163726807,2.5253560543060303,-0.0764366015791893,-0.056179776787757874,0.10089506208896637,0.5165389776229858,0.5167286396026611,0.10181040316820145,
