lago,nombre_lago,fechas_analizadas,cianobacteria_promedio_escenas_ug_l,cianobacteria_mediana_escenas_ug_l,cianobacteria_maxima_ug_l,fecha_maxima,fechas_criticas,porcentaje_fechas_criticas,umbral_alto_ug_l,area_alta_promedio_pct,area_alta_maxima_pct,fecha_area_alta_maxima,cobertura_valida_promedio_pct,pixeles_observados_persistencia,pixeles_persistencia_alta,area_persistencia_alta_pct,criterio_persistencia
amatitlan,Lago de Amatitlán,11,19.076106548309326,14.139633178710938,63.97161865234375,2026-06-19,2,18.181818181818183,10.267160415649414,49.236962862769765,97.1012144499483,2026-06-19,7.444089363712174,145989,106339,72.84041948365973,Valor alto en al menos 50% de las fechas válidas
atitlan,Lago de Atitlán,11,8.158332022753628,3.992428779602051,43.93463134765625,2025-01-18,3,27.272727272727273,10.267160415649414,6.077546132421424,43.222628317177815,2025-01-18,12.852908819217305,1228566,5455,0.44401358982748995,Valor alto en al menos 50% de las fechas válidas
